,SsAgent,Rich
0,50,-0.030474820143884918
1,48,-0.04887566137566146
2,47,-0.0940874585694429
3,45,-0.10780780780780763
4,48,-0.09532422293676313
5,47,-0.0855837424986361
6,48,-0.08375064201335392
7,47,-0.0866965620328849
8,46,-0.06221254675906074
9,50,-0.082523240371846
10,49,-0.09980392698351337
11,47,-0.10813923358189603
12,47,-0.10695507668837001
13,50,-0.14084158415841586
14,48,-0.15636559802712702
15,49,-0.15652676164805546
16,48,-0.1575057405281286
17,49,-0.17279671645194394
18,49,-0.16339811412634475
19,47,-0.1688532390728027
20,48,-0.17514656616415414
21,48,-0.17261904761904756
22,50,-0.18372693726937273
23,49,-0.18073158547190415
24,47,-0.14188120102008517
25,50,-0.16360165975103735
26,50,-0.16666666666666663
27,50,-0.17034920634920636
28,50,-0.17274980635166548
29,50,-0.17419501133786852
30,50,-0.17539143279172809
31,48,-0.15066991107906758
32,48,-0.13394912523020253
33,50,-0.1412089356110381
34,50,-0.14095054592164413
35,49,-0.12406521376621049
36,50,-0.12828675577156745
37,49,-0.11536535619633859
38,49,-0.11030606315739555
39,50,-0.12360544217687075
40,50,-0.12395555555555549
41,50,-0.1237125748502994
42,48,-0.11301385165326183
43,50,-0.1366112266112266
44,50,-0.1357884028484232
45,50,-0.13451371571072313
46,50,-0.1326063569682152
47,49,-0.11405884826379054
48,50,-0.1246860356138706
49,50,-0.1238602941176471
