Step,AgentID,Wealth,category,vision
2,2587,20.0,ant,5
2,2588,9.8,ant,1
2,2589,17.700000000000003,ant,3
2,2590,22.700000000000003,ant,5
2,2591,13.8,ant,1
2,2592,17.75,ant,3
2,2593,7.8999999999999995,ant,1
2,2594,10.899999999999999,ant,1
2,2595,24.700000000000003,ant,6
2,2596,3.0,ant,1
2,2597,21.700000000000003,ant,4
2,2598,5.8999999999999995,ant,1
2,2599,4.0,ant,1
3,2500,26.65,ant,6
3,2501,23.550000000000004,ant,6
3,2502,15.0,ant,3
3,2503,13.700000000000001,ant,1
3,2504,12.700000000000001,ant,1
3,2505,11.849999999999998,ant,1
3,2506,9.0,ant,1
3,2507,4.0,ant,1
3,2508,11.0,ant,1
3,2509,18.699999999999996,ant,4
3,2510,22.550000000000004,ant,5
3,2512,18.849999999999998,ant,4
3,2513,27.65,ant,6
3,2514,17.699999999999996,ant,4
3,2515,14.95,ant,3
3,2516,11.0,ant,2
3,2517,17.550000000000004,ant,3
3,2518,5.0,ant,1
3,2519,17.550000000000004,ant,3
3,2520,8.700000000000001,ant,1
3,2521,16.849999999999998,ant,3
3,2522,12.700000000000001,ant,1
3,2523,11.0,ant,1
3,2524,11.849999999999998,ant,1
3,2525,24.699999999999996,ant,6
3,2526,10.700000000000001,ant,1
3,2527,15.699999999999998,ant,2
3,2528,5.849999999999999,ant,1
3,2529,8.0,ant,1
3,2530,26.550000000000004,ant,6
3,2531,22.65,ant,5
3,2532,10.849999999999998,ant,1
3,2533,19.65,ant,4
3,2534,20.699999999999996,ant,5
3,2535,4.0,ant,1
3,2536,11.700000000000001,ant,1
3,2537,16.550000000000004,ant,2
3,2538,21.0,ant,5
3,2539,13.699999999999998,ant,1
3,2540,14.550000000000002,ant,1
3,2541,12.75,ant,1
3,2542,8.549999999999999,ant,1
3,2543,14.699999999999998,ant,2
3,2544,11.849999999999998,ant,1
3,2545,10.0,ant,1
3,2546,2.0,ant,1
3,2547,6.700000000000001,ant,1
3,2548,19.849999999999998,ant,4
3,2549,10.0,ant,1
3,2550,9.700000000000001,ant,1
3,2551,15.849999999999998,ant,2
3,2554,5.700000000000001,ant,1
3,2555,13.849999999999998,ant,2
3,2556,16.849999999999998,ant,4
3,2557,13.700000000000001,ant,1
3,2558,7.0,ant,1
3,2559,14.550000000000002,ant,1
3,2560,16.550000000000004,ant,2
3,2561,18.0,ant,4
3,2562,25.65,ant,6
3,2563,15.849999999999998,ant,3
3,2564,11.0,ant,1
3,2565,21.799999999999997,ant,5
3,2566,14.849999999999998,ant,2
3,2567,10.849999999999998,ant,1
3,2568,9.700000000000001,ant,1
3,2569,8.0,ant,1
3,2570,20.799999999999997,ant,4
3,2572,20.699999999999996,ant,5
3,2573,7.0,ant,1
3,2574,7.700000000000001,ant,1
3,2575,24.65,ant,6
3,2576,5.0,ant,1
3,2577,28.550000000000004,ant,6
3,2578,15.699999999999998,ant,2
3,2579,17.0,ant,4
3,2580,10.700000000000001,ant,1
3,2581,18.0,ant,4
3,2582,28.550000000000004,ant,6
3,2583,22.65,ant,5
3,2584,20.749999999999996,ant,5
3,2585,21.799999999999997,ant,5
3,2586,13.699999999999998,ant,1
3,2587,18.0,ant,4
3,2588,9.700000000000001,ant,1
3,2589,18.550000000000004,ant,3
3,2590,23.550000000000004,ant,6
3,2591,14.700000000000001,ant,2
3,2592,18.6,ant,3
3,2593,6.849999999999999,ant,1
3,2594,9.849999999999998,ant,1
3,2595,26.550000000000004,ant,6
3,2596,1.0,ant,1
3,2597,22.550000000000004,ant,5
3,2598,4.85,ant,1
3,2599,1.0,ant,1
4,2500,28.5,ant,6
4,2501,24.400000000000006,ant,6
4,2502,13.0,ant,2
4,2503,14.600000000000003,ant,1
4,2504,12.600000000000001,ant,1
4,2505,11.799999999999997,ant,1
4,2506,6.0,ant,1
4,2507,3.0,ant,1
4,2508,10.0,ant,1
4,2509,19.599999999999994,ant,4
4,2510,23.400000000000006,ant,5
4,2512,17.799999999999997,ant,4
4,2513,29.5,ant,6
4,2514,17.599999999999994,ant,3
4,2515,13.899999999999999,ant,2
4,2516,8.0,ant,1
4,2517,18.400000000000006,ant,3
4,2518,2.0,ant,1
4,2519,18.400000000000006,ant,3
4,2520,9.600000000000001,ant,1
4,2521,16.799999999999997,ant,3
4,2522,12.600000000000001,ant,1
4,2523,10.0,ant,1
4,2524,11.799999999999997,ant,1
4,2525,25.599999999999994,ant,6
4,2526,10.600000000000001,ant,1
4,2527,16.599999999999994,ant,2
4,2528,4.799999999999999,ant,1
4,2529,6.0,ant,1
4,2530,28.400000000000006,ant,6
4,2531,24.5,ant,5
4,2532,9.799999999999997,ant,1
4,2533,21.5,ant,4
4,2534,21.549999999999997,ant,4
4,2535,2.0,ant,1
4,2536,11.65,ant,1
4,2537,18.400000000000006,ant,3
4,2538,20.0,ant,5
4,2539,13.599999999999996,ant,1
4,2540,15.400000000000004,ant,2
4,2541,13.65,ant,1
4,2542,9.399999999999999,ant,1
4,2543,14.599999999999996,ant,2
4,2544,10.799999999999997,ant,1
4,2545,8.0,ant,1
4,2547,6.600000000000001,ant,1
4,2548,19.799999999999997,ant,4
4,2549,8.0,ant,1
4,2550,9.600000000000001,ant,1
4,2551,15.799999999999997,ant,2
4,2554,5.600000000000001,ant,1
4,2555,12.799999999999997,ant,1
4,2556,15.799999999999997,ant,3
4,2557,14.600000000000003,ant,1
4,2558,5.0,ant,1
4,2559,15.400000000000004,ant,2
4,2560,17.400000000000006,ant,3
4,2561,16.0,ant,4
4,2562,27.5,ant,6
4,2563,14.799999999999997,ant,2
4,2564,9.0,ant,1
4,2565,22.699999999999996,ant,5
4,2566,13.799999999999997,ant,2
4,2567,10.799999999999997,ant,1
4,2568,10.600000000000001,ant,1
4,2569,6.0,ant,1
4,2570,21.699999999999996,ant,5
4,2572,20.599999999999994,ant,4
4,2573,4.0,ant,1
4,2574,7.600000000000001,ant,1
4,2575,25.5,ant,6
4,2576,4.0,ant,1
4,2577,30.400000000000006,ant,6
4,2578,16.599999999999994,ant,2
4,2579,15.0,ant,3
4,2580,11.600000000000001,ant,1
4,2581,16.0,ant,4
4,2582,30.400000000000006,ant,6
4,2583,23.5,ant,5
4,2584,20.649999999999995,ant,5
4,2585,22.65,ant,5
4,2586,13.599999999999996,ant,1
4,2587,16.0,ant,4
4,2588,9.600000000000001,ant,1
4,2589,19.400000000000006,ant,4
4,2590,24.400000000000006,ant,6
4,2591,15.600000000000003,ant,2
4,2592,19.450000000000003,ant,4
4,2593,5.799999999999998,ant,1
4,2594,8.799999999999997,ant,1
4,2595,28.400000000000006,ant,6
4,2597,23.400000000000006,ant,5
4,2598,3.8,ant,1
5,2500,30.35,ant,6
5,2501,25.250000000000007,ant,5
5,2502,11.0,ant,1
5,2503,15.500000000000002,ant,2
5,2504,12.500000000000002,ant,1
5,2505,11.749999999999996,ant,1
5,2506,3.0,ant,1
5,2507,2.0,ant,1
5,2508,9.0,ant,1
5,2509,20.499999999999993,ant,4
5,2510,24.250000000000007,ant,5
5,2512,16.749999999999996,ant,3
5,2513,31.35,ant,6
5,2514,17.499999999999993,ant,3
5,2515,12.849999999999998,ant,1
5,2516,5.0,ant,1
5,2517,19.250000000000007,ant,4
5,2519,19.250000000000007,ant,4
5,2520,10.500000000000002,ant,1
5,2521,16.749999999999996,ant,3
5,2522,12.500000000000002,ant,1
5,2523,9.0,ant,1
5,2524,11.749999999999996,ant,1
5,2525,27.449999999999996,ant,6
5,2526,10.500000000000002,ant,1
5,2527,17.499999999999993,ant,3
5,2528,3.749999999999999,ant,1
5,2529,4.0,ant,1
5,2530,30.250000000000007,ant,6
5,2531,26.35,ant,6
5,2532,8.749999999999996,ant,1
5,2533,23.35,ant,4
5,2534,22.4,ant,5
5,2536,11.6,ant,1
5,2537,20.250000000000007,ant,4
5,2538,19.0,ant,4
5,2539,13.499999999999995,ant,1
5,2540,16.250000000000007,ant,2
5,2541,14.549999999999999,ant,1
5,2542,10.249999999999998,ant,1
5,2543,14.499999999999995,ant,1
5,2544,9.749999999999996,ant,1
5,2545,6.0,ant,1
5,2547,6.500000000000002,ant,1
5,2548,19.749999999999996,ant,4
5,2549,6.0,ant,1
5,2550,9.500000000000002,ant,1
5,2551,15.749999999999996,ant,2
5,2554,5.500000000000002,ant,1
5,2555,11.749999999999996,ant,1
5,2556,14.749999999999996,ant,2
5,2557,15.500000000000002,ant,2
5,2558,3.0,ant,1
5,2559,16.250000000000007,ant,2
5,2560,18.250000000000007,ant,3
5,2561,14.0,ant,3
5,2562,29.35,ant,6
5,2563,13.749999999999996,ant,2
5,2564,7.0,ant,1
5,2565,23.599999999999994,ant,5
5,2566,12.749999999999996,ant,1
5,2567,10.749999999999996,ant,1
5,2568,11.500000000000002,ant,1
5,2569,4.0,ant,1
5,2570,22.599999999999994,ant,5
5,2572,20.499999999999993,ant,4
5,2573,1.0,ant,1
5,2574,7.500000000000002,ant,1
5,2575,26.35,ant,6
5,2576,3.0,ant,1
5,2577,32.25000000000001,ant,6
5,2578,17.499999999999993,ant,3
5,2579,13.0,ant,2
5,2580,12.500000000000002,ant,1
5,2581,14.0,ant,3
5,2582,32.25000000000001,ant,6
5,2583,24.35,ant,5
5,2584,21.499999999999996,ant,4
5,2585,23.5,ant,5
5,2586,13.499999999999995,ant,1
5,2587,14.0,ant,3
5,2588,9.500000000000002,ant,1
5,2589,20.250000000000007,ant,4
5,2590,25.250000000000007,ant,5
5,2591,16.5,ant,2
5,2592,20.300000000000004,ant,4
5,2593,4.749999999999998,ant,1
5,2594,7.749999999999997,ant,1
5,2595,30.250000000000007,ant,6
5,2597,24.250000000000007,ant,5
5,2598,2.75,ant,1
